text,href,absolute_url,domain
Jump to content,#bodyContent,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#bodyContent,en.wikipedia.org
Main page,/wiki/Main_Page,https://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org
Contents,/wiki/Wikipedia:Contents,https://en.wikipedia.org/wiki/Wikipedia:Contents,en.wikipedia.org
Current events,/wiki/Portal:Current_events,https://en.wikipedia.org/wiki/Portal:Current_events,en.wikipedia.org
Random article,/wiki/Special:Random,https://en.wikipedia.org/wiki/Special:Random,en.wikipedia.org
About Wikipedia,/wiki/Wikipedia:About,https://en.wikipedia.org/wiki/Wikipedia:About,en.wikipedia.org
Contact us,//en.wikipedia.org/wiki/Wikipedia:Contact_us,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,en.wikipedia.org
Help,/wiki/Help:Contents,https://en.wikipedia.org/wiki/Help:Contents,en.wikipedia.org
Learn to edit,/wiki/Help:Introduction,https://en.wikipedia.org/wiki/Help:Introduction,en.wikipedia.org
Community portal,/wiki/Wikipedia:Community_portal,https://en.wikipedia.org/wiki/Wikipedia:Community_portal,en.wikipedia.org
Recent changes,/wiki/Special:RecentChanges,https://en.wikipedia.org/wiki/Special:RecentChanges,en.wikipedia.org
Upload file,/wiki/Wikipedia:File_upload_wizard,https://en.wikipedia.org/wiki/Wikipedia:File_upload_wizard,en.wikipedia.org
Special pages,/wiki/Special:SpecialPages,https://en.wikipedia.org/wiki/Special:SpecialPages,en.wikipedia.org
,/wiki/Main_Page,https://en.wikipedia.org/wiki/Main_Page,en.wikipedia.org
Search,/wiki/Special:Search,https://en.wikipedia.org/wiki/Special:Search,en.wikipedia.org
Donate,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,donate.wikimedia.org
Create account,/w/index.php?title=Special:CreateAccount&returnto=List+of+Hindu+temples+in+India,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=List+of+Hindu+temples+in+India,en.wikipedia.org
Log in,/w/index.php?title=Special:UserLogin&returnto=List+of+Hindu+temples+in+India,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=List+of+Hindu+temples+in+India,en.wikipedia.org
Donate,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,https://donate.wikimedia.org/?wmf_source=donate&wmf_medium=sidebar&wmf_campaign=en.wikipedia.org&uselang=en,donate.wikimedia.org
Create account,/w/index.php?title=Special:CreateAccount&returnto=List+of+Hindu+temples+in+India,https://en.wikipedia.org/w/index.php?title=Special:CreateAccount&returnto=List+of+Hindu+temples+in+India,en.wikipedia.org
Log in,/w/index.php?title=Special:UserLogin&returnto=List+of+Hindu+temples+in+India,https://en.wikipedia.org/w/index.php?title=Special:UserLogin&returnto=List+of+Hindu+temples+in+India,en.wikipedia.org
(Top),#,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India,en.wikipedia.org
1Andhra Pradesh,#Andhra_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Andhra_Pradesh,en.wikipedia.org
2Arunachal Pradesh,#Arunachal_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Arunachal_Pradesh,en.wikipedia.org
3Assam,#Assam,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Assam,en.wikipedia.org
4Bihar,#Bihar,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Bihar,en.wikipedia.org
5Chandigarh,#Chandigarh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Chandigarh,en.wikipedia.org
6Chhattisgarh,#Chhattisgarh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Chhattisgarh,en.wikipedia.org
7Delhi,#Delhi,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Delhi,en.wikipedia.org
8Goa,#Goa,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Goa,en.wikipedia.org
9Gujarat,#Gujarat,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Gujarat,en.wikipedia.org
10Haryana,#Haryana,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Haryana,en.wikipedia.org
11Himachal Pradesh,#Himachal_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Himachal_Pradesh,en.wikipedia.org
12Jammu and Kashmir,#Jammu_and_Kashmir,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Jammu_and_Kashmir,en.wikipedia.org
12.1Jammu Division,#Jammu_Division,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Jammu_Division,en.wikipedia.org
12.2Kashmir Division,#Kashmir_Division,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Kashmir_Division,en.wikipedia.org
13Jharkhand,#Jharkhand,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Jharkhand,en.wikipedia.org
14Karnataka,#Karnataka,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Karnataka,en.wikipedia.org
15Kerala,#Kerala,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Kerala,en.wikipedia.org
16Madhya Pradesh,#Madhya_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Madhya_Pradesh,en.wikipedia.org
17Maharashtra,#Maharashtra,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Maharashtra,en.wikipedia.org
18Manipur,#Manipur,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Manipur,en.wikipedia.org
19Meghalaya,#Meghalaya,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Meghalaya,en.wikipedia.org
20Odisha,#Odisha,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Odisha,en.wikipedia.org
21Punjab,#Punjab,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Punjab,en.wikipedia.org
22Rajasthan,#Rajasthan,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Rajasthan,en.wikipedia.org
23Sikkim,#Sikkim,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Sikkim,en.wikipedia.org
24Tamil Nadu,#Tamil_Nadu,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Tamil_Nadu,en.wikipedia.org
25Telangana,#Telangana,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Telangana,en.wikipedia.org
26Tripura,#Tripura,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Tripura,en.wikipedia.org
27Uttar Pradesh,#Uttar_Pradesh,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Uttar_Pradesh,en.wikipedia.org
28Uttarakhand,#Uttarakhand,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#Uttarakhand,en.wikipedia.org
29West Bengal,#West_Bengal,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#West_Bengal,en.wikipedia.org
30See also,#See_also,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#See_also,en.wikipedia.org
31References,#References,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#References,en.wikipedia.org
32External links,#External_links,https://en.wikipedia.org/wiki/List_of_Hindu_temples_in_India#External_links,en.wikipedia.org
বাংলা,https://bn.wikipedia.org/wiki/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0_%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81_%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE,https://bn.wikipedia.org/wiki/%E0%A6%AD%E0%A6%BE%E0%A6%B0%E0%A6%A4%E0%A7%87%E0%A6%B0_%E0%A6%B9%E0%A6%BF%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%81_%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BF%E0%A6%B0%E0%A7%87%E0%A6%B0_%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A6%BF%E0%A6%95%E0%A6%BE,bn.wikipedia.org
Bahasa Indonesia,https://id.wikipedia.org/wiki/Daftar_kuil_Hindu_di_India,https://id.wikipedia.org/wiki/Daftar_kuil_Hindu_di_India,id.wikipedia.org
Shqip,https://sq.wikipedia.org/wiki/Lista_e_tempujve_hindu_n%C3%AB_Indi,https://sq.wikipedia.org/wiki/Lista_e_tempujve_hindu_n%C3%AB_Indi,sq.wikipedia.org
